timestamp,name,action,value
1026370565810374,total:processed:files,value,19
1026370570647863,total:content:bytes:read,increment,9074
1026370683999345,total:content:bytes:read,increment,6672
1026370771223811,total:content:bytes:read,increment,5453
1026370831594389,total:content:bytes:read,increment,5775
1026370902833294,total:content:bytes:read,increment,10212
1026371100458379,total:api:calls,increment,1
1026371100550403,per:minute:operations,value,1
1026371100729307,histogram:api:response:time,duration,start
1026371162202517,total:api:calls,increment,1
1026371162306754,per:minute:operations,value,1
1026371162422906,histogram:api:response:time,duration,start
1026371164236952,total:api:calls,increment,1
1026371164329285,per:minute:operations,value,1
1026371164395177,histogram:api:response:time,duration,start
1026371165992511,total:api:calls,increment,1
1026371166141489,per:minute:operations,value,1
1026371166211870,histogram:api:response:time,duration,start
1026371167506399,total:api:calls,increment,1
1026371167587649,per:minute:operations,value,1
1026371167653548,histogram:api:response:time,duration,start
1026371169018963,total:api:calls,increment,1
1026371169101053,per:minute:operations,value,1
1026371169164201,histogram:api:response:time,duration,start
1026371170844646,total:api:calls,increment,1
1026371170935723,per:minute:operations,value,1
1026371171001815,histogram:api:response:time,duration,start
1026371172626977,total:api:calls,increment,1
1026371172706540,per:minute:operations,value,1
1026371172770947,histogram:api:response:time,duration,start
1026371174069936,total:api:calls,increment,1
1026371174155444,per:minute:operations,value,1
1026371174292454,histogram:api:response:time,duration,start
1026371176259111,total:api:calls,increment,1
1026371176341703,per:minute:operations,value,1
1026371176409201,histogram:api:response:time,duration,start
1026371178020745,total:api:calls,increment,1
1026371178098478,per:minute:operations,value,1
1026371178159220,histogram:api:response:time,duration,start
1026371179552953,total:api:calls,increment,1
1026371179635646,per:minute:operations,value,1
1026371179775603,histogram:api:response:time,duration,start
1026371181124764,total:api:calls,increment,1
1026371181205677,per:minute:operations,value,1
1026371181267973,histogram:api:response:time,duration,start
1026371182718741,total:api:calls,increment,1
1026371182803892,per:minute:operations,value,1
1026371182868877,histogram:api:response:time,duration,start
1026371184478282,total:api:calls,increment,1
1026371184594193,per:minute:operations,value,1
1026371184718286,histogram:api:response:time,duration,start
1026388713550771,histogram:api:errors,value,200
1026388713768885,histogram:api:response:time,duration,end
1026388713918190,total:used:tokens,increment,549
1026388714043210,per:minute:used:tokens,increment,549
1026389013259075,histogram:api:errors,value,200
1026389013430564,histogram:api:response:time,duration,end
1026389013540451,total:used:tokens,increment,566
1026389013648095,per:minute:used:tokens,increment,566
1026396880229605,histogram:api:errors,value,200
1026396880396892,histogram:api:response:time,duration,end
